,NOSE_TIP,PH_BULB,NERVE_RING,angle
79,"[435.8738098, 57.16800308]","[402.2227783, 72.98754883]","[369.3237305, 86.91439819]",2.23
80,"[437.4761353, 50.94102478]","[405.5047302, 75.37915039]","[370.3831482, 92.51018524]",11.39
81,"[418.0614929, 40.15772629]","[422.3540649, 73.60727692]","[404.3831787, 101.5050964]",40.1
82,"[402.5810547, 40.08070374]","[416.2101746, 68.3748703]","[406.3367004, 101.5555801]",42.29
83,"[392.1387024, 37.93185043]","[411.118988, 63.34187698]","[410.4529114, 99.31954956]",37.82
84,"[411.9689026, 34.12093735]","[411.1594543, 68.80682373]","[405.4911804, 105.2985001]",7.49
85,"[429.8184509, 37.36091614]","[414.2614136, 67.97145844]","[399.4181213, 106.5541306]",-5.9
86,"[428.8024292, 39.48605347]","[413.2741089, 71.91062164]","[396.8865051, 108.6188583]",-1.53
87,"[418.2037964, 36.93114853]","[414.8058167, 68.97568512]","[397.9602966, 109.5711136]",16.48
88,"[400.3863525, 38.26286697]","[409.5246887, 64.59449768]","[401.394165, 107.5931396]",29.85
89,"[380.0557251, 42.32419968]","[400.5097656, 62.99548721]","[401.072937, 101.7642517]",43.87
90,"[367.0658264, 49.8866272]","[392.4933777, 64.51429749]","[398.6077271, 99.53479767]",50.19
91,"[348.0562439, 52.13286972]","[380.5232849, 68.7085495]","[395.2869873, 102.3830872]",39.28
92,"[339.4541626, 46.32901382]","[363.3113403, 67.3709259]","[389.5500183, 101.4294052]",10.98
93,"[333.5131836, 37.07874298]","[354.0578308, 64.13706207]","[380.1078796, 97.07421875]",-1.13
94,"[333.3013, 38.48421478]","[352.5280762, 67.28530121]","[375.8873291, 99.05652618]",-2.6
95,"[329.6487122, 30.95465088]","[347.2911377, 60.59043121]","[368.2520447, 96.82740784]",0.72
96,"[337.3936157, 29.43444061]","[342.2019653, 60.23214722]","[361.4482727, 99.79371643]",-17.07
97,"[349.7419128, 26.18123627]","[340.7594299, 56.19806671]","[354.4419556, 99.58094025]",-34.16
98,"[362.6069031, 23.56920815]","[345.971283, 52.03012085]","[345.4630432, 85.73095703]",-29.44
99,"[373.9682922, 26.02033806]","[352.928894, 48.42251587]","[343.4411926, 82.75269318]",-27.75
